Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 2 different moves in a random move schedule with 2 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |              m   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -6986.88   |       -6981.58   |       -5.29832   |       3.139307   |   00:00:00   |   --:--:--   |
1000        |       -440.792   |       -435.494   |       -5.29832   |       14.33686   |   00:00:00   |   --:--:--   |
2000        |       -119.847   |       -114.549   |       -5.29832   |       21.24734   |   00:00:00   |   00:00:00   |
3000        |       -59.2426   |       -53.9443   |       -5.29832   |       25.09735   |   00:00:00   |   00:00:00   |
4000        |       -36.7885   |       -31.4902   |       -5.29832   |        28.5105   |   00:00:00   |   00:00:00   |
5000        |       -33.3585   |       -28.0602   |       -5.29832   |       29.62251   |   00:00:00   |   00:00:00   |
6000        |       -31.5703   |        -26.272   |       -5.29832   |       30.43432   |   00:00:00   |   00:00:00   |
7000        |       -30.9574   |       -25.6591   |       -5.29832   |       31.58847   |   00:00:00   |   00:00:00   |
8000        |       -30.9592   |       -25.6608   |       -5.29832   |       31.64831   |   00:00:00   |   00:00:00   |
9000        |       -31.5388   |       -26.2405   |       -5.29832   |       30.56516   |   00:00:00   |   00:00:00   |
10000       |       -31.6965   |       -26.3981   |       -5.29832   |       30.31395   |   00:00:00   |   00:00:00   |
11000       |       -30.8749   |       -25.5766   |       -5.29832   |       31.14619   |   00:00:00   |   00:00:00   |
12000       |        -31.285   |       -25.9866   |       -5.29832   |         32.302   |   00:00:00   |   00:00:00   |
13000       |       -32.2734   |        -26.975   |       -5.29832   |       32.66279   |   00:00:00   |   00:00:00   |
14000       |       -30.9843   |       -25.6859   |       -5.29832   |       31.72267   |   00:00:00   |   00:00:00   |
15000       |          -31.1   |       -25.8017   |       -5.29832   |       31.73043   |   00:00:00   |   00:00:00   |
16000       |       -30.8218   |       -25.5235   |       -5.29832   |       30.87564   |   00:00:00   |   00:00:00   |
17000       |       -31.1819   |       -25.8836   |       -5.29832   |       32.27443   |   00:00:00   |   00:00:00   |
18000       |       -30.6493   |        -25.351   |       -5.29832   |       31.48637   |   00:00:00   |   00:00:00   |
19000       |       -30.9323   |       -25.6339   |       -5.29832   |       30.79181   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |              m   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
20000       |       -30.9463   |        -25.648   |       -5.29832   |        30.9424   |   00:00:00   |   00:00:00   |
21000       |       -31.2256   |       -25.9273   |       -5.29832   |       31.29962   |   00:00:00   |   00:00:00   |
22000       |       -31.7034   |       -26.4051   |       -5.29832   |       31.56007   |   00:00:00   |   00:00:00   |
23000       |       -32.0536   |       -26.7552   |       -5.29832   |       30.89917   |   00:00:00   |   00:00:00   |
24000       |       -31.7667   |       -26.4684   |       -5.29832   |       31.52656   |   00:00:00   |   00:00:00   |
25000       |       -31.7769   |       -26.4786   |       -5.29832   |       31.67432   |   00:00:00   |   00:00:00   |
26000       |        -31.945   |       -26.6467   |       -5.29832   |       30.95488   |   00:00:00   |   00:00:00   |
27000       |       -33.0156   |       -27.7173   |       -5.29832   |       30.87346   |   00:00:00   |   00:00:00   |
28000       |       -33.3179   |       -28.0196   |       -5.29832   |       30.90786   |   00:00:00   |   00:00:00   |
29000       |       -32.9696   |       -27.6713   |       -5.29832   |       31.56714   |   00:00:00   |   00:00:00   |
30000       |        -32.017   |       -26.7187   |       -5.29832   |       30.75057   |   00:00:00   |   00:00:00   |
