Iter        |      Posterior   |     Likelihood   |          Prior   |              m   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -53.4879   |       -49.3936   |       -4.09434   |       39.67259   |   00:00:00   |   --:--:--   |
1000        |        -41.909   |       -37.8146   |       -4.09434   |        37.5316   |   00:00:00   |   --:--:--   |
2000        |       -36.3941   |       -32.2997   |       -4.09434   |       35.85495   |   00:00:00   |   00:00:00   |
3000        |       -34.8965   |       -30.8022   |       -4.09434   |       35.45708   |   00:00:00   |   00:00:00   |
4000        |       -32.1106   |       -28.0162   |       -4.09434   |       34.01576   |   00:00:00   |   00:00:00   |
5000        |       -31.5178   |       -27.4235   |       -4.09434   |       33.53983   |   00:00:00   |   00:00:00   |
6000        |       -30.5034   |       -26.4091   |       -4.09434   |       32.23555   |   00:00:00   |   00:00:00   |
7000        |       -30.8742   |       -26.7798   |       -4.09434   |       32.92564   |   00:00:00   |   00:00:00   |
8000        |       -30.3607   |       -26.2663   |       -4.09434   |       31.60165   |   00:00:00   |   00:00:00   |
9000        |       -30.3426   |       -26.2483   |       -4.09434   |       31.25362   |   00:00:00   |   00:00:00   |
10000       |       -30.6334   |       -26.5391   |       -4.09434   |       32.56114   |   00:00:00   |   00:00:00   |
11000       |       -32.0942   |       -27.9998   |       -4.09434   |       33.98225   |   00:00:00   |   00:00:00   |
12000       |       -33.0997   |       -29.0054   |       -4.09434   |       34.58971   |   00:00:00   |   00:00:00   |
13000       |       -31.8465   |       -27.7521   |       -4.09434   |       33.82144   |   00:00:00   |   00:00:00   |
14000       |       -30.1136   |       -26.0192   |       -4.09434   |       31.97226   |   00:00:00   |   00:00:00   |
15000       |       -29.9204   |        -25.826   |       -4.09434   |       32.07627   |   00:00:00   |   00:00:00   |
16000       |       -29.6868   |       -25.5925   |       -4.09434   |       30.94339   |   00:00:00   |   00:00:00   |
17000       |       -29.4225   |       -25.3282   |       -4.09434   |       31.37457   |   00:00:00   |   00:00:00   |
18000       |       -30.2014   |       -26.1071   |       -4.09434   |       30.04713   |   00:00:00   |   00:00:00   |
19000       |       -29.6898   |       -25.5955   |       -4.09434   |       30.52371   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |              m   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
20000       |       -29.5725   |       -25.4781   |       -4.09434   |       32.12929   |   00:00:00   |   00:00:00   |
21000       |       -33.5628   |       -29.4685   |       -4.09434   |       34.15216   |   00:00:00   |   00:00:00   |
22000       |       -30.6419   |       -26.5476   |       -4.09434   |       32.96878   |   00:00:00   |   00:00:00   |
23000       |       -31.1476   |       -27.0532   |       -4.09434   |        33.2111   |   00:00:00   |   00:00:00   |
24000       |       -29.5356   |       -25.4413   |       -4.09434   |       32.09526   |   00:00:00   |   00:00:00   |
25000       |       -29.5305   |       -25.4362   |       -4.09434   |       32.08299   |   00:00:00   |   00:00:00   |
26000       |       -29.4076   |       -25.3133   |       -4.09434   |       31.89431   |   00:00:00   |   00:00:00   |
27000       |       -29.9441   |       -25.8498   |       -4.09434   |       32.50381   |   00:00:00   |   00:00:00   |
28000       |       -29.5745   |       -25.4802   |       -4.09434   |       32.08653   |   00:00:00   |   00:00:00   |
29000       |       -29.7719   |       -25.6776   |       -4.09434   |       32.18812   |   00:00:00   |   00:00:00   |
30000       |       -29.2878   |       -25.1935   |       -4.09434   |       31.40799   |   00:00:00   |   00:00:00   
