Iter        |      Posterior   |     Likelihood   |          Prior   |             sd   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -6986.88   |       -6981.58   |       -5.29832   |      0.7608987   |   00:00:00   |   --:--:--   |
1000        |       -390.788   |        -385.49   |       -5.29832   |       1.954402   |   00:00:00   |   --:--:--   |
2000        |       -92.5643   |        -87.266   |       -5.29832   |       2.496706   |   00:00:00   |   00:00:00   |
3000        |       -41.8732   |       -36.5749   |       -5.29832   |       2.652514   |   00:00:00   |   00:00:00   |
4000        |       -41.6429   |       -36.3446   |       -5.29832   |       2.783891   |   00:00:00   |   00:00:00   |
5000        |       -33.5211   |       -28.2227   |       -5.29832   |       2.965249   |   00:00:00   |   00:00:00   |
6000        |       -33.7308   |       -28.4324   |       -5.29832   |       3.047885   |   00:00:00   |   00:00:00   |
7000        |       -33.4652   |       -28.1669   |       -5.29832   |       3.027211   |   00:00:00   |   00:00:00   |
8000        |       -31.8863   |        -26.588   |       -5.29832   |       3.077355   |   00:00:00   |   00:00:00   |
9000        |       -32.8084   |       -27.5101   |       -5.29832   |       3.110676   |   00:00:00   |   00:00:00   |
10000       |       -30.7254   |        -25.427   |       -5.29832   |       3.146748   |   00:00:00   |   00:00:00   |
11000       |       -30.5786   |       -25.2803   |       -5.29832   |       3.190336   |   00:00:00   |   00:00:00   |
12000       |       -30.4802   |       -25.1819   |       -5.29832   |       3.039105   |   00:00:00   |   00:00:00   |
13000       |       -30.7058   |       -25.4075   |       -5.29832   |        3.12992   |   00:00:00   |   00:00:00   |
14000       |       -30.5366   |       -25.2383   |       -5.29832   |       3.247621   |   00:00:00   |   00:00:00   |
15000       |       -30.7126   |       -25.4143   |       -5.29832   |       3.246373   |   00:00:00   |   00:00:00   |
16000       |       -30.5701   |       -25.2718   |       -5.29832   |       3.163819   |   00:00:00   |   00:00:00   |
17000       |       -31.9282   |       -26.6299   |       -5.29832   |       3.176049   |   00:00:00   |   00:00:00   |
18000       |       -30.5621   |       -25.2638   |       -5.29832   |       3.274189   |   00:00:00   |   00:00:00   |
19000       |        -31.741   |       -26.4427   |       -5.29832   |       3.287587   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |             sd   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
20000       |       -33.2725   |       -27.9742   |       -5.29832   |       3.395599   |   00:00:00   |   00:00:00   |
21000       |       -32.6438   |       -27.3455   |       -5.29832   |       3.482374   |   00:00:00   |   00:00:00   |
22000       |       -32.0878   |       -26.7895   |       -5.29832   |       3.523254   |   00:00:00   |   00:00:00   |
23000       |       -31.3241   |       -26.0258   |       -5.29832   |       3.617258   |   00:00:00   |   00:00:00   |
24000       |       -30.7684   |       -25.4701   |       -5.29832   |       3.504464   |   00:00:00   |   00:00:00   |
25000       |       -30.8731   |       -25.5748   |       -5.29832   |       3.515229   |   00:00:00   |   00:00:00   |
26000       |       -30.9505   |       -25.6522   |       -5.29832   |       3.632657   |   00:00:00   |   00:00:00   |
27000       |       -31.1206   |       -25.8222   |       -5.29832   |       3.658487   |   00:00:00   |   00:00:00   |
28000       |       -31.1981   |       -25.8998   |       -5.29832   |       3.716916   |   00:00:00   |   00:00:00   |
29000       |       -31.6288   |       -26.3305   |       -5.29832   |       3.697213   |   00:00:00   |   00:00:00   |
30000       |       -31.1388   |       -25.8405   |       -5.29832   |       3.696264   |   00:00:00   |   00:00:00   |
