Iter        |      Posterior   |     Likelihood   |          Prior   |             sd   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -53.4879   |       -49.3936   |       -4.09434   |       3.796595   |   00:00:00   |   --:--:--   |
1000        |        -40.091   |       -35.9967   |       -4.09434   |       3.779697   |   00:00:00   |   --:--:--   |
2000        |       -38.4859   |       -34.3916   |       -4.09434   |       3.806123   |   00:00:00   |   00:00:00   |
3000        |       -33.1252   |       -29.0309   |       -4.09434   |       3.810714   |   00:00:00   |   00:00:00   |
4000        |       -31.3032   |       -27.2088   |       -4.09434   |        3.85557   |   00:00:00   |   00:00:00   |
5000        |       -32.4608   |       -28.3664   |       -4.09434   |       3.856942   |   00:00:00   |   00:00:00   |
6000        |       -31.0503   |       -26.9559   |       -4.09434   |       3.831642   |   00:00:00   |   00:00:00   |
7000        |       -30.1845   |       -26.0902   |       -4.09434   |       3.889059   |   00:00:00   |   00:00:00   |
8000        |       -29.8757   |       -25.7813   |       -4.09434   |       3.908929   |   00:00:00   |   00:00:00   |
9000        |       -30.9528   |       -26.8585   |       -4.09434   |       3.879649   |   00:00:00   |   00:00:00   |
10000       |       -32.9828   |       -28.8885   |       -4.09434   |       3.982004   |   00:00:00   |   00:00:00   |
11000       |       -31.2079   |       -27.1135   |       -4.09434   |       3.980155   |   00:00:00   |   00:00:00   |
12000       |       -31.3509   |       -27.2565   |       -4.09434   |       3.970357   |   00:00:00   |   00:00:00   |
13000       |       -31.5344   |       -27.4401   |       -4.09434   |       4.046675   |   00:00:00   |   00:00:00   |
14000       |       -33.9977   |       -29.9033   |       -4.09434   |       3.919058   |   00:00:00   |   00:00:00   |
15000       |       -31.2855   |       -27.1911   |       -4.09434   |       3.968479   |   00:00:00   |   00:00:00   |
16000       |       -29.9175   |       -25.8231   |       -4.09434   |       3.831497   |   00:00:00   |   00:00:00   |
17000       |       -30.4661   |       -26.3718   |       -4.09434   |        3.77182   |   00:00:00   |   00:00:00   |
18000       |       -31.7791   |       -27.6847   |       -4.09434   |       3.761633   |   00:00:00   |   00:00:00   |
19000       |       -31.3143   |       -27.2199   |       -4.09434   |       3.708695   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |             sd   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
20000       |       -30.0459   |       -25.9516   |       -4.09434   |       3.729801   |   00:00:00   |   00:00:00   |
21000       |       -29.6144   |         -25.52   |       -4.09434   |       3.614646   |   00:00:00   |   00:00:00   |
22000       |       -29.7393   |        -25.645   |       -4.09434   |       3.646697   |   00:00:00   |   00:00:00   |
23000       |       -29.7313   |       -25.6369   |       -4.09434   |       3.555117   |   00:00:00   |   00:00:00   |
24000       |       -29.6177   |       -25.5233   |       -4.09434   |       3.638455   |   00:00:00   |   00:00:00   |
25000       |       -29.5456   |       -25.4512   |       -4.09434   |       3.572802   |   00:00:00   |   00:00:00   |
26000       |       -29.6151   |       -25.5208   |       -4.09434   |       3.629085   |   00:00:00   |   00:00:00   |
27000       |       -29.7404   |        -25.646   |       -4.09434   |       3.567672   |   00:00:00   |   00:00:00   |
28000       |       -29.6616   |       -25.5673   |       -4.09434   |       3.572189   |   00:00:00   |   00:00:00   |
29000       |       -29.7357   |       -25.6414   |       -4.09434   |       3.619447   |   00:00:00   |   00:00:00   |
30000       |       -30.2957   |       -26.2013   |       -4.09434   |       3.516836   |   00:00:00   |   00:00:00   |
