Iteration	Posterior	Likelihood	Prior	m	observed_result[1]	observed_result[2]	observed_result[3]	observed_result[4]	observed_result[5]	observed_result[6]	observed_result[7]	observed_result[8]	observed_result[9]	observed_result[10]	s
0	-34.5942	-29.2958	-5.29832	5.709304	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.763519
100	-35.4889	-30.1905	-5.29832	5.643318	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.348068
200	-29.7824	-24.4841	-5.29832	7.864326	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.866457
300	-27.2002	-21.9018	-5.29832	9.997233	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.497516
400	-26.5798	-21.2815	-5.29832	10.30653	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.269569
500	-27.4433	-22.145	-5.29832	8.667054	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.261533
600	-27.6417	-22.3434	-5.29832	8.431288	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	3.198394
700	-25.2125	-19.9142	-5.29832	10.12151	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.838825
800	-24.4076	-19.1093	-5.29832	10.49227	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.566748
900	-25.9261	-20.6277	-5.29832	11.04688	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.878422
1000	-24.8421	-19.5438	-5.29832	10.57186	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.677459
1100	-23.9854	-18.687	-5.29832	10.03399	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.489712
1200	-23.1512	-17.8529	-5.29832	9.316661	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.123647
1300	-22.8798	-17.5815	-5.29832	10.58332	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	2.134789
1400	-19.8905	-14.5922	-5.29832	10.31085	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.53478
1500	-21.1819	-15.8836	-5.29832	9.245262	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.536551
1600	-18.6922	-13.3939	-5.29832	10.23107	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.322042
1700	-16.5281	-11.2298	-5.29832	9.845075	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8825671
1800	-17.9721	-12.6738	-5.29832	9.760899	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.146883
1900	-18.3386	-13.0403	-5.29832	10.58986	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.046741
2000	-18.1616	-12.8633	-5.29832	10.34833	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.190446
2100	-16.6114	-11.3131	-5.29832	9.804362	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8709628
2200	-15.7233	-10.425	-5.29832	10.13128	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7075312
2300	-16.1973	-10.8989	-5.29832	10.2491	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8115046
2400	-17.3324	-12.0341	-5.29832	9.634065	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8304555
2500	-18.4424	-13.144	-5.29832	10.20548	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.28061
2600	-17.6421	-12.3437	-5.29832	9.927807	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.137156
2700	-15.9988	-10.7005	-5.29832	10.00064	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5821152
2800	-15.8664	-10.5681	-5.29832	10.16378	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.762403
2900	-15.7583	-10.46	-5.29832	10.11327	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.744489
3000	-15.8715	-10.5732	-5.29832	10.04644	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5949345
3100	-18.769	-13.4707	-5.29832	10.52873	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6066214
3200	-16.4937	-11.1954	-5.29832	9.800165	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6513764
3300	-16.2671	-10.9688	-5.29832	9.962932	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8776527
3400	-15.8055	-10.5071	-5.29832	9.948523	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7087076
3500	-15.6802	-10.3819	-5.29832	10.06376	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6545215
3600	-16.5247	-11.2264	-5.29832	10.34299	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8086945
3700	-15.9053	-10.607	-5.29832	10.18096	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7651324
3800	-15.7239	-10.4256	-5.29832	9.994736	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7105533
