Iteration	Posterior	Likelihood	Prior	m2	observed_result2[1]	observed_result2[2]	observed_result2[3]	observed_result2[4]	observed_result2[5]	observed_result2[6]	observed_result2[7]	observed_result2[8]	observed_result2[9]	observed_result2[10]	s2
0	-85.6449	-81.9561	-3.68888	12.58459	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6666245
100	-14.8202	-11.1313	-3.68888	10.19605	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9027899
200	-14.9626	-11.2738	-3.68888	9.800183	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8545772
300	-14.8275	-11.1387	-3.68888	10.33487	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7790904
400	-14.3622	-10.6733	-3.68888	10.1942	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6237522
500	-14.8103	-11.1214	-3.68888	10.30233	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8298367
600	-15.4611	-11.7722	-3.68888	9.955619	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.03759
700	-14.3851	-10.6962	-3.68888	10.05201	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8279549
800	-14.5056	-10.8167	-3.68888	10.03765	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5603637
900	-15.6887	-11.9998	-3.68888	9.88563	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.063481
1000	-14.064	-10.3751	-3.68888	10.09366	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6858137
1100	-14.9678	-11.2789	-3.68888	9.776354	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8227189
1200	-18.9236	-15.2347	-3.68888	9.252464	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.864211
1300	-14.2035	-10.5146	-3.68888	10.12208	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.764145
1400	-15.8838	-12.1949	-3.68888	10.42305	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.006828
1500	-14.0692	-10.3804	-3.68888	10.02349	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6836979
1600	-14.5937	-10.9048	-3.68888	10.28488	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.67752
1700	-14.2632	-10.5743	-3.68888	9.935868	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7409261
1800	-14.6231	-10.9342	-3.68888	9.833972	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6764185
1900	-14.6584	-10.9695	-3.68888	10.14933	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8811318
2000	-14.557	-10.8681	-3.68888	10.01972	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5567419
2100	-15.7293	-12.0404	-3.68888	10.07826	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.095352
2200	-15.3083	-11.6194	-3.68888	9.849651	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9746099
2300	-15.3597	-11.6708	-3.68888	9.76736	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9337291
2400	-14.7754	-11.0865	-3.68888	10.21181	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8862494
2500	-16.7354	-13.0465	-3.68888	9.487523	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8987371
2600	-14.2991	-10.6102	-3.68888	9.915973	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.731127
2700	-15.0947	-11.4058	-3.68888	10.05691	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9791997
2800	-15.493	-11.8041	-3.68888	9.886224	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.026154
2900	-14.2539	-10.565	-3.68888	10.17791	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7485999
3000	-14.8188	-11.1299	-3.68888	9.950551	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9097408
3100	-14.8335	-11.1447	-3.68888	9.834578	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8505006
3200	-15.702	-12.0131	-3.68888	9.930027	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.077145
3300	-14.2978	-10.609	-3.68888	9.986806	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.79106
3400	-14.14	-10.4511	-3.68888	10.13864	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.653828
3500	-14.744	-11.0552	-3.68888	9.974876	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.899985
3600	-14.6709	-10.982	-3.68888	9.822217	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6827701
3700	-14.1132	-10.4243	-3.68888	10.0974	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6389081
3800	-14.5731	-10.8842	-3.68888	9.909804	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8334707
3900	-14.1091	-10.4202	-3.68888	10.0011	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6584199
4000	-14.5319	-10.843	-3.68888	9.869105	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6456107
4100	-14.2417	-10.5528	-3.68888	10.04785	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.598786
4200	-15.1805	-11.4916	-3.68888	9.804136	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.918466
4300	-15.4838	-11.7949	-3.68888	9.844947	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5414876
4400	-17.1592	-13.4703	-3.68888	10.38727	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.508391
4500	-14.2206	-10.5317	-3.68888	9.95934	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.744368
4600	-14.1417	-10.4528	-3.68888	10.04866	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.623414
4700	-14.3783	-10.6894	-3.68888	10.12225	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8193296
4800	-14.3089	-10.6201	-3.68888	10.10305	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5901276
4900	-14.3406	-10.6518	-3.68888	10.15103	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6003458
5000	-14.7143	-11.0255	-3.68888	10.09274	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9024454
5100	-14.865	-11.1761	-3.68888	10.3401	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7883277
5200	-16.4343	-12.7454	-3.68888	10.58991	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8131851
5300	-15.5821	-11.8932	-3.68888	9.882777	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.042257
5400	-15.6209	-11.932	-3.68888	10.35335	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.578757
5500	-14.1676	-10.4788	-3.68888	10.01761	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6225765
5600	-14.757	-11.0681	-3.68888	9.805929	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7796589
5700	-15.1234	-11.4346	-3.68888	10.38692	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8116617
5800	-17.6002	-13.9114	-3.68888	9.667526	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.529329
5900	-14.116	-10.4272	-3.68888	10.03737	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6344353
6000	-14.6117	-10.9228	-3.68888	9.884799	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6098539
6100	-14.1864	-10.4975	-3.68888	9.958856	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7218125
6200	-14.2237	-10.5348	-3.68888	9.971047	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6302936
6300	-14.9317	-11.2428	-3.68888	10.3462	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8099081
6400	-14.3967	-10.7078	-3.68888	10.24411	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7048173
6500	-14.9571	-11.2682	-3.68888	10.19829	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5446842
6600	-14.8507	-11.1618	-3.68888	10.29916	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.846535
6700	-14.587	-10.8982	-3.68888	9.934682	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8503032
6800	-14.259	-10.5701	-3.68888	10.06088	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5948647
6900	-14.1419	-10.453	-3.68888	10.09738	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7469657
7000	-14.794	-11.1051	-3.68888	10.16775	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9061252
7100	-14.3243	-10.6354	-3.68888	9.961932	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7882414
7200	-14.8612	-11.1723	-3.68888	9.903136	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9018167
7300	-14.5796	-10.8907	-3.68888	9.861695	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7934681
7400	-15.0857	-11.3969	-3.68888	10.03826	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9769439
7500	-14.2509	-10.562	-3.68888	10.02485	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7870654
7600	-14.1573	-10.4684	-3.68888	10.15609	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6671097
7700	-15.1234	-11.4345	-3.68888	9.839226	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5760321
7800	-14.7438	-11.0549	-3.68888	9.800541	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7459674
7900	-14.6752	-10.9863	-3.68888	10.04744	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8950727
8000	-14.9885	-11.2996	-3.68888	10.36149	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8037857
8100	-16.0602	-12.3713	-3.68888	10.14619	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.149714
8200	-15.6893	-12.0005	-3.68888	10.30891	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.037242
8300	-14.425	-10.7361	-3.68888	10.21933	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7816823
8400	-16.9096	-13.2207	-3.68888	9.70725	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.231395
8500	-14.1358	-10.447	-3.68888	10.05152	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7487605
8600	-14.1982	-10.5093	-3.68888	9.951826	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7194291
8700	-15.1836	-11.4947	-3.68888	10.38873	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8381917
8800	-14.7913	-11.1025	-3.68888	10.32647	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6881366
8900	-16.8396	-13.1508	-3.68888	10.59962	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.067255
9000	-14.3442	-10.6553	-3.68888	9.93253	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.7754731
9100	-16.8446	-13.1557	-3.68888	9.773449	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.24596
9200	-16.0161	-12.3272	-3.68888	9.668143	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.00909
9300	-15.4133	-11.7244	-3.68888	9.96194	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.029819
9400	-15.6091	-11.9202	-3.68888	10.13993	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.069212
9500	-14.7079	-11.019	-3.68888	10.0838	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.901693
9600	-14.9308	-11.242	-3.68888	10.1833	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9307213
9700	-14.6922	-11.0034	-3.68888	10.02062	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8967013
9800	-14.4415	-10.7526	-3.68888	9.98943	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8328157
9900	-14.2637	-10.5748	-3.68888	10.19191	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6563312
10000	-14.7283	-11.0394	-3.68888	9.820839	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6615668
10100	-14.3549	-10.6661	-3.68888	10.19172	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6234595
10200	-15.4209	-11.732	-3.68888	10.20945	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.020786
10300	-14.3354	-10.6465	-3.68888	10.02096	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8114558
10400	-18.6713	-14.9825	-3.68888	9.251145	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.235239
10500	-17.6639	-13.975	-3.68888	9.985762	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.440576
10600	-17.8092	-14.1203	-3.68888	9.581402	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.35417
10700	-16.132	-12.4431	-3.68888	10.12261	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.164795
10800	-15.3446	-11.6558	-3.68888	10.27043	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9841754
10900	-14.4892	-10.8003	-3.68888	9.934981	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8242647
11000	-14.2385	-10.5496	-3.68888	10.01386	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.6056313
11100	-14.351	-10.6621	-3.68888	9.974706	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.5977747
11200	-14.9332	-11.2443	-3.68888	10.08059	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9476463
11300	-16.1641	-12.4752	-3.68888	9.705092	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	1.074465
11400	-15.1123	-11.4234	-3.68888	10.26142	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.9389148
11500	-14.7453	-11.0564	-3.68888	10.24199	10.269	10.289	9.59	11.107	9.434	10.59	11.117	9.092	9.451	9.683	0.8628585
