Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	p	sd
0	-141.772	-96.3714	-45.4006	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1469085	1.084544
100	-140.37	-96.3714	-43.9988	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.02352564	1.084544
200	-139.539	-96.3714	-43.1681	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1259673	1.084544
300	-136.67	-96.3714	-40.2991	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.4886256	1.084544
400	-138.141	-96.3714	-41.7691	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3010405	1.084544
500	-138.332	-96.3714	-41.9611	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2768282	1.084544
600	-136.629	-96.3714	-40.2579	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.4939445	1.084544
700	-135.413	-96.3714	-39.0414	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.6522295	1.084544
800	-135.218	-96.3714	-38.8471	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.6777742	1.084544
900	-131.967	-96.3714	-35.5952	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.116651	1.084544
1000	-129.227	-96.3714	-32.8554	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.504838	1.084544
1100	-126.25	-96.3714	-29.8784	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.948883	1.084544
1200	-123.166	-96.3714	-26.7946	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.437791	1.084544
1300	-121.736	-96.3714	-25.3641	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.676261	1.084544
1400	-120.234	-96.3714	-23.8631	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.935651	1.084544
1500	-121.087	-96.3714	-24.716	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.787045	1.084544
1600	-116.77	-96.3714	-20.3983	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.576796	1.084544
1700	-114.207	-96.3714	-17.8356	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.098782	1.084544
1800	-115.799	-96.3714	-19.428	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.768942	1.084544
1900	-114.443	-96.3714	-18.0715	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.048687	1.084544
2000	-114.124	-96.3714	-17.7525	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.116536	1.084544
2100	-114.115	-96.3714	-17.7433	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.118503	1.084544
2200	-114.14	-96.3714	-17.769	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.113023	1.084544
2300	-112.119	-96.3714	-15.7479	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.56375	1.084544
2400	-110.805	-96.3714	-14.4333	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.879909	1.084544
2500	-109.972	-96.3714	-13.6006	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	5.091613	1.084544
2600	-108.377	-96.3714	-12.0056	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	5.5276	1.084544
2700	-108.051	-96.3714	-11.6801	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	5.622421	1.084544
2800	-106.516	-96.3714	-10.1447	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	6.104096	1.084544
2900	-105.872	-96.3714	-9.50086	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	6.327041	1.084544
3000	-104.686	-96.3714	-8.3146	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	6.783421	1.084544
3100	-104.806	-96.3714	-8.43467	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	6.733937	1.084544
3200	-104.675	-96.3714	-8.30352	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	6.788031	1.084544
3300	-103.641	-96.3714	-7.26934	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.257753	1.084544
3400	-103.216	-96.3714	-6.84436	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.480573	1.084544
3500	-102.631	-96.3714	-6.25992	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.831962	1.084544
3600	-102.551	-96.3714	-6.17953	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.885884	1.084544
3700	-102.67	-96.3714	-6.29815	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.806886	1.084544
3800	-102.159	-96.3714	-5.78781	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.177314	1.084544
3900	-102.224	-96.3714	-5.85257	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.125193	1.084544
4000	-102.235	-96.3714	-5.86404	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.116147	1.084544
4100	-102.398	-96.3714	-6.02664	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.993381	1.084544
4200	-102.084	-96.3714	-5.71281	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.240154	1.084544
4300	-102.019	-96.3714	-5.64755	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.297277	1.084544
4400	-102.103	-96.3714	-5.73142	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.224296	1.084544
4500	-102.375	-96.3714	-6.00323	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.010473	1.084544
4600	-102.636	-96.3714	-6.26457	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.828892	1.084544
4700	-102.122	-96.3714	-5.75026	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.20843	1.084544
4800	-101.758	-96.3714	-5.38691	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.555754	1.084544
4900	-101.736	-96.3714	-5.36466	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.580813	1.084544
5000	-101.78	-96.3714	-5.40908	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.531363	1.084544
5100	-101.899	-96.3714	-5.52796	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.408957	1.084544
5200	-101.612	-96.3714	-5.24109	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.732888	1.084544
5300	-101.543	-96.3714	-5.1717	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.831149	1.084544
5400	-101.916	-96.3714	-5.54475	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.392659	1.084544
5500	-102.386	-96.3714	-6.01422	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.002426	1.084544
5600	-103.073	-96.3714	-6.70119	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.561077	1.084544
5700	-103.138	-96.3714	-6.76655	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.523942	1.084544
5800	-103.039	-96.3714	-6.66763	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.580411	1.084544
5900	-103.103	-96.3714	-6.73149	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.543777	1.084544
6000	-102.777	-96.3714	-6.40565	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.73817	1.084544
6100	-102.666	-96.3714	-6.29497	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.808961	1.084544
