Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	p	sd
0	-7384.43	-7388.87	4.43542	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1469085	0.1646308
100	-7383.83	-7388.87	5.04295	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.006928644	0.1646308
200	-7383.95	-7388.87	4.91388	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.05554765	0.1646308
300	-7384.24	-7388.87	4.633	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1157866	0.1646308
400	-7384.24	-7388.87	4.63191	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1159746	0.1646308
500	-7385.44	-7388.87	3.43242	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.2585725	0.1646308
600	-7383.92	-7388.87	4.95147	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.04430656	0.1646308
700	-7384.26	-7388.87	4.60473	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2020302	0.1646308
800	-7383.86	-7388.87	5.00849	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.02360939	0.1646308
900	-7385.97	-7388.87	2.90019	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.3034121	0.1646308
1000	-7384.01	-7388.87	4.85441	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1524687	0.1646308
1100	-7383.84	-7388.87	5.03086	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.01336994	0.1646308
1200	-7383.79	-7388.87	5.07727	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.06093222	0.1646308
1300	-7383.82	-7388.87	5.04546	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.08689938	0.1646308
1400	-7387.3	-7388.87	1.56958	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.4772308	0.1646308
1500	-7385.05	-7388.87	3.81774	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3027877	0.1646308
1600	-7383.86	-7388.87	5.0072	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.02415246	0.1646308
1700	-7383.85	-7388.87	5.01645	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1015859	0.1646308
1800	-7383.79	-7388.87	5.07965	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.02397115	0.1646308
1900	-7384.38	-7388.87	4.48663	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1393593	0.1646308
2000	-7383.99	-7388.87	4.88221	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.0640876	0.1646308
2100	-7384.11	-7388.87	4.75701	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1740131	0.1646308
2200	-7384.59	-7388.87	4.2743	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2503195	0.1646308
2300	-7383.83	-7388.87	5.0379	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.09113894	0.1646308
2400	-7383.95	-7388.87	4.92103	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1349361	0.1646308
2500	-7384.03	-7388.87	4.83909	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1561237	0.1646308
2600	-7384.46	-7388.87	4.40903	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2321062	0.1646308
2700	-7384.19	-7388.87	4.67691	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1894107	0.1646308
2800	-7383.95	-7388.87	4.91429	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1368557	0.1646308
2900	-7383.78	-7388.87	5.08469	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.03813599	0.1646308
3000	-7384.01	-7388.87	4.85724	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.07035615	0.1646308
3100	-7384.43	-7388.87	4.43626	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1467876	0.1646308
3200	-7383.79	-7388.87	5.07394	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.06499666	0.1646308
3300	-7383.93	-7388.87	4.94227	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.04719053	0.1646308
3400	-7385.03	-7388.87	3.83939	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3005388	0.1646308
3500	-7383.78	-7388.87	5.08482	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.04093603	0.1646308
3600	-7385.36	-7388.87	3.51223	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.2512553	0.1646308
3700	-7384.97	-7388.87	3.89556	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.2131886	0.1646308
3800	-7383.8	-7388.87	5.07221	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.01456717	0.1646308
3900	-7383.8	-7388.87	5.06501	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.07347492	0.1646308
4000	-7384.01	-7388.87	4.855	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1523247	0.1646308
4100	-7384	-7388.87	4.87135	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1482814	0.1646308
4200	-7383.8	-7388.87	5.06874	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.01119376	0.1646308
4300	-7383.85	-7388.87	5.02023	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.09988216	0.1646308
4400	-7384.03	-7388.87	4.8437	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1550355	0.1646308
4500	-7383.83	-7388.87	5.04091	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.0080735	0.1646308
4600	-7385.24	-7388.87	3.62488	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3220267	0.1646308
4700	-7384.11	-7388.87	4.75564	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1742922	0.1646308
4800	-7383.97	-7388.87	4.89537	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.0606263	0.1646308
4900	-7383.79	-7388.87	5.07519	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.0178722	0.1646308
5000	-7384.81	-7388.87	4.05655	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2768019	0.1646308
5100	-7384.48	-7388.87	4.3897	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1534017	0.1646308
5200	-7383.79	-7388.87	5.07833	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.05946491	0.1646308
5300	-7384.93	-7388.87	3.93958	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2898691	0.1646308
5400	-7384.14	-7388.87	4.72446	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1804754	0.1646308
5500	-7383.78	-7388.87	5.08481	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.04035646	0.1646308
5600	-7383.88	-7388.87	4.98507	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1142415	0.1646308
5700	-7383.87	-7388.87	5.00376	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.02557274	0.1646308
5800	-7384.41	-7388.87	4.45425	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.225593	0.1646308
5900	-7383.94	-7388.87	4.9295	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.05104588	0.1646308
6000	-7383.8	-7388.87	5.06409	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.007189248	0.1646308
6100	-7384.02	-7388.87	4.84793	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1540298	0.1646308
6200	-7383.81	-7388.87	5.06185	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.07599321	0.1646308
6300	-7383.8	-7388.87	5.07122	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.01356116	0.1646308
6400	-7383.94	-7388.87	4.92928	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.05111086	0.1646308
6500	-7383.85	-7388.87	5.01933	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.01886803	0.1646308
6600	-7383.91	-7388.87	4.95836	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1235042	0.1646308
6700	-7383.81	-7388.87	5.06205	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.07584032	0.1646308
6800	-7384.6	-7388.87	4.26616	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1699465	0.1646308
6900	-7383.84	-7388.87	5.03289	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.01234499	0.1646308
7000	-7383.87	-7388.87	4.99718	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1096335	0.1646308
7100	-7383.82	-7388.87	5.04812	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.003886081	0.1646308
7200	-7385.27	-7388.87	3.60145	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.242852	0.1646308
7300	-7383.79	-7388.87	5.08241	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.05212532	0.1646308
7400	-7383.79	-7388.87	5.07779	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.02118869	0.1646308
7500	-7383.79	-7388.87	5.07634	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.06214339	0.1646308
7600	-7383.88	-7388.87	4.99257	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1114241	0.1646308
7700	-7384.07	-7388.87	4.79465	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.08470322	0.1646308
7800	-7383.79	-7388.87	5.08171	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.05367832	0.1646308
7900	-7384.34	-7388.87	4.52903	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2142839	0.1646308
8000	-7383.88	-7388.87	4.98406	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.03319315	0.1646308
8100	-7384.52	-7388.87	4.35361	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.2398006	0.1646308
8200	-7385.75	-7388.87	3.12322	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3667967	0.1646308
8300	-7383.84	-7388.87	5.02716	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.09661588	0.1646308
8400	-7384.62	-7388.87	4.24858	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1721955	0.1646308
8500	-7384.05	-7388.87	4.82099	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1602982	0.1646308
8600	-7383.91	-7388.87	4.95688	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.04256527	0.1646308
8700	-7385.7	-7388.87	3.17338	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3626007	0.1646308
8800	-7383.87	-7388.87	4.99961	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.02724799	0.1646308
8900	-7384.06	-7388.87	4.81273	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.08073391	0.1646308
9000	-7385.86	-7388.87	3.01042	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.294618	0.1646308
9100	-7384.14	-7388.87	4.73174	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.09763235	0.1646308
9200	-7383.89	-7388.87	4.97965	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.03479178	0.1646308
9300	-7383.94	-7388.87	4.92844	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.05135655	0.1646308
9400	-7385.82	-7388.87	3.04521	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.2917945	0.1646308
9500	-7383.83	-7388.87	5.04346	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.08805735	0.1646308
9600	-7384.02	-7388.87	4.85039	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.1534378	0.1646308
9700	-7384.37	-7388.87	4.4969	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1378067	0.1646308
9800	-7384.21	-7388.87	4.65432	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	-0.1120494	0.1646308
9900	-7385.35	-7388.87	3.51723	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.3322138	0.1646308
10000	-7383.79	-7388.87	5.07915	0.04071158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.02318856	0.1646308
