Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
0	-30.7418	-26.8298	-3.91202	8.03713	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.389368
100	-31.0316	-27.1196	-3.91202	7.747407	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.897771
200	-31.0286	-27.1166	-3.91202	7.573631	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.998594
300	-30.6548	-26.7428	-3.91202	7.487517	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.7523
400	-29.7634	-25.8513	-3.91202	7.367718	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.117376
500	-29.0172	-25.1052	-3.91202	7.340505	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.439856
600	-28.7469	-24.8349	-3.91202	7.29088	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.144727
700	-29.4075	-25.4954	-3.91202	7.55875	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.572072
800	-29.7185	-25.8065	-3.91202	7.72106	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.688632
900	-29.7666	-25.8546	-3.91202	7.618092	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.889137
1000	-29.5448	-25.6327	-3.91202	7.68458	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.518005
1100	-29.5288	-25.6168	-3.91202	7.536647	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.742539
1200	-29.5227	-25.6107	-3.91202	7.522513	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.753759
1300	-29.7846	-25.8726	-3.91202	7.704378	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.795295
1400	-29.4659	-25.5539	-3.91202	7.413047	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.818738
1500	-29.2635	-25.3515	-3.91202	7.42344	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.604051
1600	-29.9324	-26.0204	-3.91202	7.936064	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.496687
1700	-29.3627	-25.4507	-3.91202	7.43572	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.693321
1800	-30.0556	-26.1436	-3.91202	7.685591	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.098146
1900	-30.3502	-26.4382	-3.91202	7.540547	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.476197
2000	-30.0154	-26.1034	-3.91202	7.231841	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.400991
2100	-29.5817	-25.6697	-3.91202	7.271432	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.037631
2200	-29.6623	-25.7503	-3.91202	6.903182	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.29577
2300	-29.3342	-25.4222	-3.91202	6.844576	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.085376
2400	-28.9324	-25.0203	-3.91202	6.460753	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.936045
2500	-28.9993	-25.0873	-3.91202	6.403013	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.995925
2600	-29.4229	-25.5109	-3.91202	6.470291	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.265307
2700	-30.111	-26.199	-3.91202	6.861821	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.62674
2800	-29.6897	-25.7777	-3.91202	6.983355	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.281553
2900	-29.669	-25.757	-3.91202	7.183777	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.163306
3000	-28.3379	-24.4259	-3.91202	6.555388	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.473536
3100	-28.4748	-24.5628	-3.91202	6.309162	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.656936
3200	-28.0527	-24.1407	-3.91202	6.330702	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.337689
3300	-28.264	-24.3519	-3.91202	6.210908	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.528398
3400	-28.4059	-24.4939	-3.91202	5.965432	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.658611
3500	-28.5083	-24.5963	-3.91202	6.231771	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.696791
3600	-28.3059	-24.3939	-3.91202	6.229118	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.554785
3700	-28.5578	-24.6458	-3.91202	5.759899	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.762049
3800	-28.7903	-24.8783	-3.91202	6.107087	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.905958
3900	-29.0616	-25.1495	-3.91202	6.248396	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.067206
4000	-29.4896	-25.5776	-3.91202	6.357718	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.332197
4100	-28.767	-24.8549	-3.91202	6.232358	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.87318
4200	-27.8633	-23.9513	-3.91202	6.335763	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.177889
4300	-28.2667	-24.3546	-3.91202	6.788914	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.267783
4400	-28.1462	-24.2342	-3.91202	6.889952	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.007394
4500	-27.8341	-23.9221	-3.91202	6.585217	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.987464
4600	-28.3473	-24.4353	-3.91202	6.564137	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.47694
4700	-28.935	-25.023	-3.91202	6.51257	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.92338
4800	-28.4944	-24.5824	-3.91202	6.406298	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.645084
4900	-28.9716	-25.0596	-3.91202	6.230449	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.010278
5000	-28.1141	-24.202	-3.91202	6.319358	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.389393
5100	-28.2674	-24.3554	-3.91202	6.660187	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.360864
5200	-28.1676	-24.2556	-3.91202	6.416524	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.397708
5300	-28.4557	-24.5437	-3.91202	6.586633	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.550811
5400	-28.37	-24.458	-3.91202	6.659128	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.447395
5500	-28.413	-24.501	-3.91202	6.866713	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.342357
5600	-27.9656	-24.0536	-3.91202	6.70995	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.015689
5700	-27.7364	-23.8244	-3.91202	6.645769	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.533669
5800	-27.3094	-23.3974	-3.91202	5.886446	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.322459
5900	-27.4344	-23.5223	-3.91202	5.725159	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.20998
6000	-28.0119	-24.0999	-3.91202	5.248109	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.101735
6100	-28.3341	-24.4221	-3.91202	5.224323	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.999807
6200	-28.5642	-24.6522	-3.91202	5.560905	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.835186
6300	-27.885	-23.973	-3.91202	5.762809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.984439
6400	-28.3467	-24.4347	-3.91202	6.089356	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.871495
6500	-27.6956	-23.7836	-3.91202	5.828284	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.052239
6600	-27.7029	-23.7909	-3.91202	6.338217	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.176195
6700	-27.3759	-23.4638	-3.91202	6.007062	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.265479
6800	-28.0934	-24.1814	-3.91202	5.935463	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.919338
6900	-27.7927	-23.8807	-3.91202	5.887746	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.0134
7000	-28.3639	-24.4519	-3.91202	5.336174	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.943767
7100	-29.0562	-25.1442	-3.91202	4.953852	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.950812
7200	-28.8435	-24.9314	-3.91202	5.059291	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.945135
7300	-28.0467	-24.1347	-3.91202	4.899951	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.424094
7400	-29.2727	-25.3606	-3.91202	4.239854	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.552414
7500	-29.5482	-25.6362	-3.91202	4.323975	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.302527
7600	-29.035	-25.123	-3.91202	4.543609	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.268764
7700	-28.5865	-24.6745	-3.91202	4.690655	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.316725
7800	-28.8363	-24.9242	-3.91202	4.714216	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.180348
