Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
0	-139.604	-137.995	-1.60944	1.663711	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9605994
100	-90.4206	-88.8111	-1.60944	2.748301	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9998231
200	-70.2655	-68.6561	-1.60944	3.483537	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9995701
300	-61.2913	-59.6819	-1.60944	4.088098	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9596602
400	-46.8192	-45.2098	-1.60944	4.966706	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9862591
500	-46.7639	-45.1545	-1.60944	4.933827	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9920001
600	-47.8521	-46.2426	-1.60944	4.900815	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9800349
700	-46.8695	-45.2601	-1.60944	4.997979	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9809961
800	-46.0135	-44.404	-1.60944	4.971194	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9986301
900	-46.3249	-44.7155	-1.60944	4.94238	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9978041
1000	-48.3325	-46.7231	-1.60944	4.742346	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.998371
1100	-47.5603	-45.9508	-1.60944	4.823198	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.996775
1200	-46.2636	-44.6542	-1.60944	4.947184	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9980842
1300	-48.3601	-46.7507	-1.60944	4.810197	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9865954
1400	-48.1514	-46.5419	-1.60944	4.928096	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9714615
1500	-46.5935	-44.9841	-1.60944	4.924776	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9961061
1600	-46.723	-45.1136	-1.60944	4.932833	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9928035
