Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
0	-92.3844	-90.775	-1.60944	3.482035	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.8449914
100	-59.4141	-57.8047	-1.60944	4.026715	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.992773
200	-50.2157	-48.6062	-1.60944	4.589529	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9976099
300	-47.7327	-46.1232	-1.60944	4.790079	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9995586
400	-47.3741	-45.7647	-1.60944	4.877791	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9909524
500	-46.3751	-44.7657	-1.60944	4.961962	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9940695
600	-47.987	-46.3776	-1.60944	4.771436	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9987358
700	-45.9428	-44.3334	-1.60944	4.980052	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9984994
800	-46.9796	-45.3702	-1.60944	4.877156	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9972889
900	-48.5301	-46.9207	-1.60944	4.865879	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9752237
1000	-50.4053	-48.7958	-1.60944	4.705045	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.974412
1100	-45.8641	-44.2546	-1.60944	4.985675	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9989845
1200	-47.1076	-45.4982	-1.60944	4.892311	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9928813
1300	-46.9089	-45.2995	-1.60944	4.873519	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9989975
1400	-46.3815	-44.7721	-1.60944	4.972619	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9924034
1500	-46.2814	-44.6719	-1.60944	4.982976	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.992523
1600	-48.4462	-46.8367	-1.60944	4.80054	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.986875
1700	-49.6418	-48.0323	-1.60944	4.6702	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.991363
1800	-47.9569	-46.3475	-1.60944	4.818118	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.991446
1900	-47.749	-46.1396	-1.60944	4.96651	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.971926
2000	-46.8428	-45.2333	-1.60944	4.891883	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9971673
2100	-46.0325	-44.423	-1.60944	4.971856	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9982189
2200	-47.7734	-46.164	-1.60944	4.931809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9765909
2300	-48.9075	-47.298	-1.60944	4.759525	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9867789
2400	-46.9187	-45.3093	-1.60944	4.925665	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.990765
2500	-47.075	-45.4656	-1.60944	4.910889	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9905348
2600	-46.8525	-45.2431	-1.60944	4.934027	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9905578
2700	-47.5642	-45.9548	-1.60944	4.868151	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9895011
2800	-46.9011	-45.2917	-1.60944	4.876909	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9985858
2900	-46.5955	-44.9861	-1.60944	4.924894	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9960566
3000	-46.2501	-44.6406	-1.60944	4.954445	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9972211
3100	-47.2813	-45.6718	-1.60944	4.935027	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9836683
3200	-48.675	-47.0656	-1.60944	4.811546	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9816643
3300	-50.4246	-48.8152	-1.60944	4.945517	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9370281
3400	-47.5776	-45.9681	-1.60944	4.814807	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.997881
3500	-48.0513	-46.4419	-1.60944	4.829996	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9880765
3600	-46.7976	-45.1882	-1.60944	4.911667	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9948276
3700	-46.4935	-44.8841	-1.60944	4.989075	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9882224
3800	-48.8713	-47.2618	-1.60944	4.830647	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9757161
3900	-46.4164	-44.8069	-1.60944	4.980321	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.990722
4000	-47.9732	-46.3637	-1.60944	4.916905	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9757843
4100	-47.7563	-46.1468	-1.60944	4.93735	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9760355
4200	-46.7635	-45.154	-1.60944	4.908008	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.995938
4300	-46.4556	-44.8462	-1.60944	4.992923	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9882814
4400	-48.3202	-46.7107	-1.60944	4.959703	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9644026
4500	-48.4245	-46.8151	-1.60944	4.734845	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9982543
4600	-47.4841	-45.8747	-1.60944	4.821318	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9982796
4700	-46.6289	-45.0195	-1.60944	4.92232	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9959089
4800	-46.3148	-44.7054	-1.60944	4.939792	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9983597
4900	-48.6364	-47.0269	-1.60944	4.823519	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.980313
5000	-49.4636	-47.8542	-1.60944	4.925061	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9529942
5100	-46.5168	-44.9073	-1.60944	4.908911	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9997867
5200	-47.023	-45.4135	-1.60944	4.909833	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9915194
5300	-46.2636	-44.6542	-1.60944	4.999942	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9903794
5400	-46.9937	-45.3843	-1.60944	4.951071	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9857927
5500	-47.0754	-45.466	-1.60944	4.892361	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9933831
5600	-48.7294	-47.1199	-1.60944	4.782859	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9855425
5700	-46.4611	-44.8516	-1.60944	4.961989	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9926741
5800	-49.3682	-47.7588	-1.60944	4.662409	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9967748
5900	-46.8777	-45.2682	-1.60944	4.999795	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9806136
6000	-46.6142	-45.0047	-1.60944	4.917336	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9969096
6100	-46.352	-44.7425	-1.60944	4.949472	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9962998
6200	-46.6307	-45.0212	-1.60944	4.950193	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9916883
6300	-46.3768	-44.7674	-1.60944	4.959014	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9944779
6400	-46.7508	-45.1414	-1.60944	4.96299	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9878854
6500	-47.0233	-45.4139	-1.60944	4.945984	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9860769
6600	-48.8978	-47.2884	-1.60944	4.987609	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9521918
6700	-49.3747	-47.7652	-1.60944	4.929751	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9535651
6800	-46.5599	-44.9505	-1.60944	4.996689	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9860766
6900	-47.3308	-45.7213	-1.60944	4.912301	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9863101
7000	-46.573	-44.9635	-1.60944	4.905783	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9993581
7100	-47.4012	-45.7917	-1.60944	4.985307	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9745435
7200	-45.9526	-44.3432	-1.60944	4.999741	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.99549
7300	-47.3373	-45.7278	-1.60944	4.966759	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9781641
7400	-46.8123	-45.2028	-1.60944	4.96738	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.986271
7500	-45.8339	-44.2245	-1.60944	4.986842	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9993158
7600	-50.0539	-48.4444	-1.60944	4.708156	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9788321
7700	-48.6783	-47.0689	-1.60944	4.976397	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9568646
7800	-48.0768	-46.4673	-1.60944	4.904169	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.976135
7900	-48.1719	-46.5625	-1.60944	4.81263	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9890514
8000	-48.7439	-47.1344	-1.60944	4.788931	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9843262
8100	-46.4147	-44.8053	-1.60944	4.967554	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9926068
8200	-48.587	-46.9776	-1.60944	4.998431	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9551543
8300	-47.385	-45.7755	-1.60944	4.900945	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9871976
8400	-47.2746	-45.6651	-1.60944	4.911213	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9873519
8500	-46.5599	-44.9504	-1.60944	4.973614	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.989386
8600	-46.0377	-44.4283	-1.60944	4.973292	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9979207
8700	-46.5003	-44.8908	-1.60944	4.994084	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9874001
8800	-53.0361	-51.4267	-1.60944	4.540125	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9681405
8900	-48.9584	-47.3489	-1.60944	4.744943	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.988482
9000	-49.8576	-48.2482	-1.60944	4.721238	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9794012
9100	-50.3641	-48.7546	-1.60944	4.747131	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9679413
9200	-47.6713	-46.0618	-1.60944	4.875144	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9867504
9300	-47.8069	-46.1975	-1.60944	4.979565	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9692073
9400	-48.0882	-46.4788	-1.60944	4.830465	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9874384
9500	-48.079	-46.4696	-1.60944	4.947883	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9696557
9600	-47.7239	-46.1145	-1.60944	4.907243	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9810134
9700	-47.1884	-45.5789	-1.60944	4.857486	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9970919
9800	-46.2476	-44.6382	-1.60944	4.962789	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.996023
9900	-47.6897	-46.0802	-1.60944	4.900338	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9825852
10000	-47.4003	-45.7909	-1.60944	4.948094	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9799
10100	-45.9836	-44.3742	-1.60944	4.965982	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9998929
