Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
0	-59.6139	-26.468	-33.1459	16.30381	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.145269	15.91026
1000	-59.3013	-26.3049	-32.9964	16.22945	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.197809	15.91026
2000	-59.7376	-26.5174	-33.2202	16.34675	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.220158	15.91026
3000	-59.23	-26.2648	-32.9651	16.21169	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.227825	15.91026
4000	-59.0536	-26.1897	-32.8639	16.15781	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.148942	15.91026
5000	-59.6066	-26.473	-33.1337	16.29096	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.092523	15.91026
6000	-59.443	-26.3886	-33.0544	16.2547	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.113003	15.91026
7000	-60.4346	-26.8637	-33.5709	16.51538	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.206613	15.91026
8000	-60.6661	-26.9661	-33.7	16.58587	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.282643	15.91026
9000	-60.9215	-27.0972	-33.8243	16.63749	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.247408	15.91026
10000	-60.6698	-26.9644	-33.7054	16.59088	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.305702	15.91026
11000	-60.5297	-26.8973	-33.6324	16.55491	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.292948	15.91026
12000	-59.9664	-26.6056	-33.3608	16.41708	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.386832	15.91026
13000	-59.6377	-26.4496	-33.1881	16.32653	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.342286	15.91026
14000	-59.3449	-26.3129	-33.032	16.24482	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.286227	15.91026
15000	-59.8129	-26.5428	-33.27	16.37344	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.297584	15.91026
16000	-60.2493	-26.7834	-33.4659	16.45488	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.137036	15.91026
17000	-59.3856	-26.334	-33.0516	16.25627	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.280132	15.91026
18000	-59.2854	-26.2952	-32.9901	16.22596	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.209094	15.91026
19000	-59.2404	-26.2989	-32.9415	16.1896	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.047322	15.91026
20000	-58.7597	-26.0804	-32.6793	16.03546	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.926734	15.91026
21000	-58.78	-26.089	-32.691	16.04328	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.935408	15.91026
22000	-58.8203	-26.1019	-32.7185	16.06552	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.977605	15.91026
23000	-59.0254	-26.1679	-32.8574	16.15326	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.197905	15.91026
24000	-58.8617	-26.088	-32.7737	16.10632	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.188758	15.91026
25000	-58.7715	-26.0457	-32.7258	16.07991	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.172842	15.91026
26000	-58.8092	-26.0357	-32.7735	16.07451	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.361569	15.91026
27000	-58.5479	-25.9299	-32.618	16.01266	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.201164	15.91026
28000	-58.2489	-25.7908	-32.4581	15.92265	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.136988	15.91026
29000	-58.7675	-26.0656	-32.7019	16.06479	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.036911	15.91026
30000	-58.5448	-25.9471	-32.5977	16.00954	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.083423	15.91026
31000	-58.5911	-25.9456	-32.6455	16.02324	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.238763	15.91026
32000	-58.2618	-25.7869	-32.4749	15.92184	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.202256	15.91026
33000	-58.1711	-25.7288	-32.4423	15.87536	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.285071	15.91026
34000	-58.106	-25.7079	-32.3981	15.86894	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.209226	15.91026
35000	-58.3339	-25.8081	-32.5258	15.92891	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.298697	15.91026
