Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
0	-48.7127	-22.4855	-26.2272	13.14386	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.657824	12.27406
1000	-48.9452	-22.6002	-26.345	13.20606	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.643075	12.27406
2000	-48.7398	-22.5078	-26.232	13.18735	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.589161	12.27406
3000	-49.1404	-22.7078	-26.4326	13.28758	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.547292	12.27406
4000	-49.4886	-22.8756	-26.6131	13.35365	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.553308	12.27406
5000	-50.6918	-23.4639	-27.2279	13.57185	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.507613	12.27406
6000	-51.4405	-23.8148	-27.6257	13.69199	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.584934	12.27406
7000	-50.5283	-23.381	-27.1473	13.54328	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.535399	12.27406
8000	-50.6679	-23.4434	-27.2245	13.56373	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.572092	12.27406
9000	-50.8407	-23.4972	-27.3435	13.54094	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.812731	12.27406
10000	-50.6677	-23.4088	-27.2589	13.48623	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.855605	12.27406
11000	-50.3503	-23.277	-27.0733	13.48763	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.670983	12.27406
12000	-50.5413	-23.3608	-27.1805	13.50457	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.740547	12.27406
13000	-50.8595	-23.5092	-27.3503	13.5538	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.786795	12.27406
14000	-51.4028	-23.7741	-27.6287	13.66555	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.765834	12.27406
15000	-50.8875	-23.5246	-27.3629	13.56443	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.770961	12.27406
16000	-50.3438	-23.2643	-27.0795	13.46101	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.749403	12.27406
17000	-50.3092	-23.2482	-27.061	13.45583	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.744041	12.27406
18000	-50.3973	-23.2969	-27.1004	13.49048	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.693458	12.27406
19000	-51	-23.5743	-27.4257	13.57402	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.812092	12.27406
20000	-51.6242	-23.8762	-27.748	13.69845	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.807573	12.27406
21000	-51.6848	-23.9057	-27.7791	13.7103	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.8061	12.27406
22000	-50.8082	-23.4797	-27.3285	13.52803	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.828813	12.27406
23000	-50.6456	-23.4006	-27.245	13.49127	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.833354	12.27406
24000	-50.4042	-23.2932	-27.1111	13.47253	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.752167	12.27406
25000	-51.3376	-23.7413	-27.5963	13.65056	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.777568	12.27406
26000	-50.932	-23.5505	-27.3815	13.58353	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.733269	12.27406
27000	-50.9043	-23.5386	-27.3657	13.58129	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.720751	12.27406
28000	-51.5556	-23.8464	-27.7092	13.69168	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.778375	12.27406
29000	-51.7254	-23.9189	-27.8065	13.70407	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.864374	12.27406
30000	-51.6781	-23.8959	-27.7822	13.69424	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.86592	12.27406
31000	-52.1751	-24.1269	-28.0482	13.76987	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.950698	12.27406
32000	-50.7914	-23.4627	-27.3287	13.48749	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.910559	12.27406
33000	-51.2714	-23.7122	-27.5592	13.64372	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.752151	12.27406
34000	-50.9859	-23.5655	-27.4204	13.5652	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.829157	12.27406
35000	-51.2754	-23.6961	-27.5793	13.59311	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.91599	12.27406
36000	-51.5369	-23.832	-27.7049	13.67707	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.826352	12.27406
37000	-52.0923	-24.092	-28.0002	13.76685	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.901166	12.27406
38000	-52.3119	-24.197	-28.1149	13.8075	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.910733	12.27406
39000	-52.1652	-24.1313	-28.0339	13.78973	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.862337	12.27406
40000	-52.2251	-24.1532	-28.0719	13.7858	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.929625	12.27406
41000	-52.2845	-24.1871	-28.0974	13.80909	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.87873	12.27406
42000	-51.6534	-23.886	-27.7674	13.69452	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.846942	12.27406
