Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
0	-49.5266	-21.4765	-28.0501	23.48396	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
1000	-49.7541	-21.5832	-28.1708	23.57815	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
2000	-50.0834	-21.738	-28.3454	23.69861	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
3000	-49.6807	-21.5488	-28.1319	23.54893	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
4000	-49.435	-21.4336	-28.0014	23.44256	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
5000	-49.4522	-21.4417	-28.0106	23.45054	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
6000	-49.4324	-21.4324	-28	23.44136	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
7000	-49.5257	-21.4761	-28.0496	23.48355	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
8000	-49.9077	-21.6554	-28.2523	23.63631	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
9000	-49.9293	-21.6656	-28.2638	23.64421	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
10000	-50.4006	-21.8873	-28.5133	23.80207	25.9146	23.6301	21.5398	21.4953	22.3656	23.6958	25.2835	20.5246	21.3437	21.5049	2.65924	22.47885
