Iteration	Posterior	Likelihood	Prior	m	sd	z
0	-22.6094	0	-22.6094	22.25652	1.349039	21.59628
1000	-22.7388	0	-22.7388	22.31378	1.349039	21.59628
2000	-22.8559	0	-22.8559	22.35931	1.349039	21.59628
3000	-22.6769	0	-22.6769	22.28749	1.349039	21.59628
4000	-22.4933	0	-22.4933	22.19554	1.349039	21.59628
5000	-22.381	0	-22.381	22.12023	1.349039	21.59628
6000	-22.4089	0	-22.4089	22.14127	1.349039	21.59628
7000	-22.4164	0	-22.4164	22.14662	1.349039	21.59628
8000	-22.5255	0	-22.5255	22.21369	1.349039	21.59628
9000	-22.3499	0	-22.3499	22.09403	1.349039	21.59628
10000	-22.2837	0	-22.2837	22.01857	1.349039	21.59628
