Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	s
0	-9766.43	-9760.11	-6.31866	14.44858	12.25221	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.53341
100	-9766.52	-9760.11	-6.41297	14.44858	12.22995	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.176447
200	-9766.7	-9760.11	-6.59171	14.44858	11.68219	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.619575
300	-9766.57	-9760.11	-6.46739	14.44858	12.16583	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.430531
400	-9766.69	-9760.11	-6.57904	14.44858	11.95771	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.905378
500	-9766.65	-9760.11	-6.54643	14.44858	11.93896	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.664128
600	-9766.63	-9760.11	-6.51858	14.44858	11.8487	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.308917
700	-9766.59	-9760.11	-6.48643	14.44858	11.88191	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.090008
800	-9766.72	-9760.11	-6.6091	14.44858	11.45783	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.939946
900	-9766.73	-9760.11	-6.62401	14.44858	11.41218	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.013593
